FORMNummer;KLE nummer
08.15.05;"23.05.00;23.06.00;23.09.00"
08.15.05.05;23.05.01
08.15.05.10;23.05.10
08.15.05.15;23.05.12
08.15.05.25;23.05.05
08.15.05.45;23.09.15
08.15.05.48;23.09.00
08.15.05.50;23.09.02
08.15.05.55;Ikke med i KLE
08.15.15;23.04.00
08.15.15.05;23.04.00
08.15.15.10;23.04.00
08.15.15.15;Ikke med i KLE
08.15.15.20;Ikke med i KLE
08.20;"27.69.56;27.69.60"
08.20.05;Ikke med i KLE
08.20.05.05;Ikke med i KLE
08.20.05.10;Ikke med i KLE
08.20.07;27.69.60
08.20.07.10;27.69.60
08.20.07.20;27.69.60
08.20.07.30;27.69.60
08.20.07.40;27.69.60
08.20.10;27.69.56
08.20.10.10;Ikke med i KLE
08.20.10.20;27.69.56
08.20.10.30;Ikke med i KLE
08.25;Ikke med i KLE
08.25.05;23.01.02
08.25.05.05;23.01.02
08.25.05.10;"23.01.00;23.01.02;23.01.10"
08.25.05.15;Ikke med i KLE
08.25.10;Ikke med i KLE
08.25.10.05;Ikke med i KLE
08.25.10.10;Ikke med i KLE
08.25.15;"32.15.00;32.16.00"
08.25.15.05;"32.15.08;32.16.08"
08.25.15.10;"32.15.04;32.15.06;32.15.12;32.15.20;32.15.24;32.15.28;32.15.30;32.15.34;32.15.40;32.15.50;32.15.60;32.16.04;32.16.06;32.16.12;32.16.20;32.16.24;32.16.28;32.16.30;32.16.34;32.16.40;32.16.50;32.16.60"
08.30;Ikke med i KLE
08.30.05;Ikke med i KLE
08.30.05.10;Ikke med i KLE
08.30.05.15;Ikke med i KLE
08.30.05.20;Ikke med i KLE
08.30.05.25;Ikke med i KLE
08.30.05.30;Ikke med i KLE
08.30.08;Ikke med i KLE
08.30.08.10;Ikke med i KLE
08.30.08.20;Ikke med i KLE
08.30.09;
08.30.09.10;Ikke med i KLE
08.30.10;Ikke med i KLE
08.30.10.05;Ikke med i KLE
08.30.10.10;Ikke med i KLE
08.30.10.15;Ikke med i KLE
08.30.10.20;Ikke med i KLE
08.30.10.25;54.17.12
08.30.10.30;Ikke med i KLE
10;"17;54"
10.02;Ikke med i KLE
10.02.05;17.00.35
10.02.05.05;17.00.35
10.02.05.10;17.00.35
10.02.05.15;17.00.35
10.02.05.20;17.00.35
10.02.05.25;17.00.35
10.02.10;83.10.00
10.02.10.10;83.10.00
10.02.15;Ikke med i KLE
10.02.15.10;Ikke med i KLE
10.02.15.20;Ikke med i KLE
10.02.15.30;Ikke med i KLE
10.02.15.40;Ikke med i KLE
10.02.35;Ikke med i KLE
10.02.35.10;Ikke med i KLE
10.02.35.20;Ikke med i KLE
10.02.45;Ikke med i KLE
10.02.45.10;Ikke med i KLE
10.02.45.15;Ikke med i KLE
10.02.45.20;Ikke med i KLE
10.02.50;Ikke med i KLE
10.02.50.10;Ikke med i KLE
10.03;17.00.30
10.03.05;17.00.30
10.03.05.05;17.00.30
10.03.05.10;17.00.30
10.03.05.15;17.00.30
10.03.10;17.00.30
10.03.10.05;17.00.30
10.03.10.10;17.00.30
10.03.10.15;Ikke med i KLE
10.03.15;Ikke med i KLE
10.03.15.05;Ikke med i KLE
10.03.15.10;Ikke med i KLE
10.03.15.15;Ikke med i KLE
10.03.20;Ikke med i KLE
10.03.20.05;Ikke med i KLE
10.03.20.10;54.18.16
10.06;17
10.06.05;Ikke med i KLE
10.06.05.05;17.01.04
10.06.05.10;"17.01.10;17.01.11"
10.06.05.12;Ikke med i KLE
10.06.05.14;Ikke med i KLE
10.06.05.15;17.01.00
10.06.05.20;84.10.00
10.06.05.25;17.01.01
10.06.05.30;17.01.04
10.06.05.32;Ikke med i KLE
10.06.05.35;17.01.08
10.06.05.40;"17.21.00;17.21.01;17.21.03;17.21.05;17.21.15"
10.06.05.45;17.00.01
10.06.10;"17.20.00;17.35.00"
10.06.10.05;"17.20.04;17.20.05"
10.06.10.10;17.20.01
10.06.10.15;"17.20.07;17.20.16;17.20.17;17.35.16"
10.06.10.20;17.20.00
10.06.10.25;17.20.03
10.06.15;"17.02.00;17.03.00;17.04.00;17.05.00;17.15.00;21.06.00"
10.06.15.05;"17.02.11;17.02.30"
10.06.15.10;17.02.02
10.06.15.15;17.02.09
10.06.15.20;17.03.20
10.06.15.22;17.20.18
10.06.15.25;"17.15.01;17.15.02;17.15.03"
10.06.15.27;17.15.20
10.06.15.30;17.15.04
10.06.15.35;17.02.09
10.06.15.40;17.02.09
10.06.15.45;17.02.09
10.06.15.50;17.04.25
10.06.15.55;17.00.00
10.06.15.60;"17.05.00;17.05.08;17.05.10;17.05.11;17.05.20;17.05.22;17.05.26;17.05.28;17.05.30;17.05.32"
10.06.15.65;17.02.03
10.06.15.70;17.02.05
10.06.15.75;17.02.16
10.06.15.80;17.02.40
10.06.15.85;"17.02.18;17.02.24"
10.06.15.88;17.04.18
10.06.15.90;17.02.04
10.06.15.92;"17.07.00;17.07.01"
10.06.15.95;21.06.00
10.06.15.97;"17.04.00;17.04.02;17.04.03;17.04.04;17.04.05;17.04.06;17.04.07;17.04.11;17.04.13;17.04.15;17.04.20;17.04.22;17.04.23"
10.06.20;"17.01.00;17.02.00;17.05.00;17.27.00"
10.06.20.05;17.01.04
10.06.20.10;17.02.07
10.06.20.15;"17.05.15;17.27.16;17.27.25"
10.06.20.20;17.27.25
10.06.20.25;17.02.36
10.06.20.30;17.02.36
10.06.20.35;"17.05.00;17.05.08;17.05.15;17.05.22;17.05.26;17.05.28;17.05.30;17.05.32"
10.06.25;17.03.00
10.06.25.05;17.03.04
10.06.25.10;17.03.10
10.06.25.12;17.03.07
10.06.25.15;17.03.08
10.06.25.20;17.03.22
10.06.25.25;17.03.22
10.06.25.30;17.03.09
10.06.35;"17.13.00;17.35.00"
10.06.35.05;17.01.10
10.06.35.10;17.13.10
10.06.35.15;"17.35.02;17.35.04;17.35.06;17.35.08"
10.06.35.20;17.13.00
10.06.35.25;17.13.00
10.06.40;"17.11.00;17.20.00"
10.06.40.02;17.01.04
10.06.40.10;17.20.15
10.06.40.15;17.05.00
10.06.40.20;17.20.19
10.06.40.25;17.20.15
10.06.40.30;"17.11.16;17.11.20"
10.06.40.35;28.18.04
10.06.52;"18.01.00;18.09.00;18.10.00"
10.06.52.02;"18.01.00;18.01.13"
10.06.52.06;"18.09.01;18.09.02"
10.06.52.11;18.10.02
10.06.52.16;"17.02.36;17.27.25"
10.06.52.20;17.03.08
10.06.52.25;"18.10.01;18.10.06;18.10.10;18.12.05"
10.06.54;"17.11.00;17.20.00"
10.06.54.05;"17.11.00;17.11.24;17.11.28;17.20.15"
10.06.54.10;"17.11.00;17.11.24;17.11.28"
10.06.54.15;"17.03.04;17.11.00;17.11.24;17.11.28"
10.06.54.20;"17.11.00;17.11.24;17.11.28"
10.06.54.25;"17.11.00;17.11.24;17.11.28"
10.06.54.30;"17.11.00;17.11.24;17.11.28"
10.06.57;17.11.00
10.06.57.05;"17.11.24;17.11.28"
10.06.57.10;"17.11.24;17.11.28"
10.06.59;Ikke med i KLE
10.06.59.05;Ikke med i KLE
10.06.60;"17.27.00;17.27.21"
10.06.60.05;"17.27.14;17.27.16"
10.06.60.10;17.27.17
10.06.60.15;17.27.25
10.10;54
10.10.02;Ikke med i KLE
10.10.02.05;Ikke med i KLE
10.10.02.10;Ikke med i KLE
10.10.05;"54.20.00;54.22.00;54.24.00;54.26.00"
10.10.05.02;54.20.00
10.10.05.04;54.22.00
10.10.05.06;"54.24.00;54.24.02;54.24.04"
10.10.05.08;54.26.00
10.10.05.12;Ikke med i KLE
10.10.05.14;Ikke med i KLE
10.10.05.15;Ikke med i KLE
10.10.10;Ikke med i KLE
10.10.10.02;Ikke med i KLE
10.10.10.04;Ikke med i KLE
10.10.10.08;Ikke med i KLE
10.10.10.10;Ikke med i KLE
10.10.10.11;Ikke med i KLE
10.10.10.12;Ikke med i KLE
10.10.10.14;Ikke med i KLE
10.10.10.16;Ikke med i KLE
10.10.10.18;Ikke med i KLE
10.10.15;Ikke med i KLE
10.10.15.05;"15.08.00;15.08.05;15.08.06;15.08.07;15.08.10"
10.10.15.10;18.17.00
10.10.15.15;15.03.00
10.10.15.20;"54.18.00;54.18.05;54.18.08;54.18.11"
10.10.15.25;"17.27.16;17.27.17"
10.15;Ikke med i KLE
10.15.02;Ikke med i KLE
10.15.02.10;Ikke med i KLE
10.15.02.20;Ikke med i KLE
10.15.02.25;Ikke med i KLE
10.15.02.30;Ikke med i KLE
10.15.02.40;Ikke med i KLE
10.15.02.50;Ikke med i KLE
10.15.02.55;Ikke med i KLE
10.15.02.60;Ikke med i KLE
10.15.04;Ikke med i KLE
10.15.04.04;Ikke med i KLE
10.15.04.08;Ikke med i KLE
10.15.04.16;Ikke med i KLE
10.15.04.20;Ikke med i KLE
10.15.08;Ikke med i KLE
10.15.08.04;Ikke med i KLE
10.15.08.08;Ikke med i KLE
10.15.08.20;Ikke med i KLE
10.15.08.25;Ikke med i KLE
10.15.08.30;Ikke med i KLE
10.15.10;Ikke med i KLE
10.15.10.05;Ikke med i KLE
10.15.10.20;Ikke med i KLE
10.15.12;Ikke med i KLE
10.15.12.08;Ikke med i KLE
10.15.12.10;Ikke med i KLE
10.15.12.20;Ikke med i KLE
10.15.16;Ikke med i KLE
10.15.16.04;Ikke med i KLE
10.15.16.12;Ikke med i KLE
10.15.16.16;Ikke med i KLE
10.15.20;Ikke med i KLE
10.15.20.05;Ikke med i KLE
10.15.20.10;Ikke med i KLE
10.15.20.15;Ikke med i KLE
10.18;54
10.18.02;Ikke med i KLE
10.18.02.05;Ikke med i KLE
10.18.02.10;Ikke med i KLE
10.18.04;Ikke med i KLE
10.18.04.05;Ikke med i KLE
10.18.04.10;Ikke med i KLE
10.18.04.15;Ikke med i KLE
10.18.04.20;Ikke med i KLE
10.18.10;54.06.00
10.18.10.06;"54.06.00;54.06.02;54.06.04;54.06.06;54.06.08;54.06.10;54.06.12"
10.18.10.12;"54.06.00;54.06.20;54.06.26"
10.18.12;"15.03.00;15.03.10"
10.18.12.05;Ikke med i KLE
10.18.12.10;Ikke med i KLE
10.18.12.15;Ikke med i KLE
10.18.12.20;Ikke med i KLE
10.18.17;Ikke med i KLE
10.18.17.05;Ikke med i KLE
10.18.17.10;Ikke med i KLE
10.18.17.15;Ikke med i KLE
10.18.17.20;Ikke med i KLE
10.18.19;Ikke med i KLE
10.18.19.08;Ikke med i KLE
10.18.19.10;Ikke med i KLE
10.18.19.15;Ikke med i KLE
10.18.22;Ikke med i KLE
10.18.22.05;Ikke med i KLE
10.18.22.10;Ikke med i KLE
10.18.22.15;Ikke med i KLE
10.18.26;54.15.00
10.18.26.05;54.15.08
10.18.26.10;54.15.28
10.18.26.15;54.15.40
10.18.26.20;Ikke med i KLE
12;Ikke med i KLE
12.30;Ikke med i KLE
12.30.05;Ikke med i KLE
12.30.05.01;Ikke med i KLE
12.30.05.02;Ikke med i KLE
12.30.05.03;Ikke med i KLE
12.30.05.06;Ikke med i KLE
12.30.05.07;Ikke med i KLE
12.30.05.10;Ikke med i KLE
12.30.05.15;Ikke med i KLE
12.30.05.20;Ikke med i KLE
12.30.10;Ikke med i KLE
12.30.10.05;Ikke med i KLE
12.30.10.10;Ikke med i KLE
12.30.15;Ikke med i KLE
12.30.15.10;Ikke med i KLE
12.30.15.15;Ikke med i KLE
12.30.18;Ikke med i KLE
12.30.18.05;Ikke med i KLE
12.30.18.10;Ikke med i KLE
12.30.20;Ikke med i KLE
12.30.20.05;Ikke med i KLE
12.30.20.10;Ikke med i KLE
12.30.30;Ikke med i KLE
12.30.30.10;Ikke med i KLE
12.30.30.20;Ikke med i KLE
12.30.30.30;Ikke med i KLE
12.30.40;Ikke med i KLE
12.30.40.10;Ikke med i KLE
14;"15;32"
14.35;Ikke med i KLE
14.35.01;Ikke med i KLE
14.35.01.05;Ikke med i KLE
14.35.01.10;Ikke med i KLE
14.35.03;Ikke med i KLE
14.35.03.05;Ikke med i KLE
14.35.03.07;Ikke med i KLE
14.35.03.08;Ikke med i KLE
14.35.03.10;Ikke med i KLE
14.35.03.11;Ikke med i KLE
14.35.03.12;Ikke med i KLE
14.35.03.13;Ikke med i KLE
14.35.03.14;Ikke med i KLE
14.35.03.15;Ikke med i KLE
14.35.03.17;15.21.20
14.35.03.20;Ikke med i KLE
14.35.03.25;Ikke med i KLE
14.35.03.27;Ikke med i KLE
14.35.03.40;Ikke med i KLE
14.35.10;Ikke med i KLE
14.35.10.05;Ikke med i KLE
14.35.15;"32.30.04;32.24.20;32.30.08"
14.35.15.05;Ikke med i KLE
14.35.15.10;Ikke med i KLE
14.35.15.15;"32.30.04;32.24.20;32.30.08"
14.35.15.20;Ikke med i KLE
14.35.15.25;Ikke med i KLE
14.35.15.30;Ikke med i KLE
14.35.15.35;Ikke med i KLE
14.35.15.40;Ikke med i KLE
14.35.15.50;Ikke med i KLE
14.35.20;Ikke med i KLE
14.35.20.05;Ikke med i KLE
14.35.20.10;Ikke med i KLE
14.35.20.15;Ikke med i KLE
14.37;Ikke med i KLE
14.37.05;"15.20.00;15.21.00;15.23.00"
14.37.05.02;"15.21.01;15.21.03;15.23.07"
14.37.05.06;"15.20.01;15.20.02;15.20.03;15.20.04;15.20.05;15.20.09;15.20.20;15.20.22;15.23.00"
14.37.05.12;Ikke med i KLE
14.37.05.20;15.20.00
14.37.10;"15.17.00;15.20.00;15.22.00"
14.37.10.05;"15.17.09;15.17.12"
14.37.10.10;15.20.24
14.37.10.15;15.20.03
14.37.10.20;"15.22.00;15.22.03;15.22.06;15.22.09"
14.37.10.22;15.17.18
14.37.10.25;15.17.26
14.37.10.30;15.17.22
14.37.15;Ikke med i KLE
14.37.15.05;15.28.00
14.37.15.10;15.01.03
14.37.15.15;32.03.24
14.37.15.20;"32.27.00;32.27.05"
14.40;Ikke med i KLE
14.40.05;"32.24.08;32.24.12;32.27.10"
14.40.05.05;32.24.08
14.40.05.10;32.24.12
14.40.05.15;32.27.10
14.40.10;"15.01.03;32.00.24;32.24.28;32.24.30;32.30.04;32.30.08"
14.40.10.05;"32.30.00;32.30.08;32.30.10;32.30.12"
14.40.10.10;"15.17.06;32.30.00;32.30.04"
14.40.10.12;"32.24.28;32.24.30"
14.40.10.15;15.01.03
14.40.10.20;32.00.24
14.40.15;"15.01.00;32.24.00"
14.40.15.05;"15.01.16;15.01.12"
14.40.15.10;"15.20.51;32.24.02;32.24.04;32.24.05;32.24.06;32.24.07"
14.40.15.12;"15.20.51;32.24.32"
14.40.15.14;"32.24.03;32.24.44;32.24.45"
14.40.15.15;Ikke med i KLE
14.40.15.20;15.01.16
14.40.15.25;32.24.52
14.40.17;32.26.14
14.40.17.05;32.26.14
14.40.20;15.20.00
14.40.20.10;15.20.03
14.40.20.20;15.21.05
14.40.20.30;15.21.05
14.40.20.40;15.20.36
14.40.20.50;15.21.30
14.45;Ikke med i KLE
14.45.07;Ikke med i KLE
14.45.07.05;Ikke med i KLE
14.45.07.10;Ikke med i KLE
14.45.07.15;Ikke med i KLE
14.45.07.16;Ikke med i KLE
14.45.07.17;Ikke med i KLE
14.45.07.18;Ikke med i KLE
14.45.07.20;Ikke med i KLE
14.45.07.25;Ikke med i KLE
14.45.10;Ikke med i KLE
14.45.10.05;Ikke med i KLE
14.45.10.10;Ikke med i KLE
14.45.10.15;Ikke med i KLE
14.45.10.20;Ikke med i KLE
14.45.15;Ikke med i KLE
14.45.15.05;Ikke med i KLE
14.45.15.10;15.06.00
14.45.15.15;Ikke med i KLE
14.45.15.20;Ikke med i KLE
14.45.15.25;Ikke med i KLE
14.45.20;Ikke med i KLE
14.45.20.02;Ikke med i KLE
14.45.20.06;Ikke med i KLE
14.45.20.12;Ikke med i KLE
14.45.20.16;Ikke med i KLE
14.45.20.20;Ikke med i KLE
14.45.20.24;Ikke med i KLE
14.45.20.28;Ikke med i KLE
14.45.20.32;Ikke med i KLE
14.45.25;Ikke med i KLE
